source: ,Kaasa Minkov 2022,Kaasa Minkov 2022,Inglehart Welzel 2021,Inglehart Welzel 2021,Minkov Kaasa 2022,Minkov Kaasa 2022,Beugelsdijk Welzel 2018,Beugelsdijk Welzel 2018
Estonia,-0.23,1.36,0.01,1.05,39,108,48.2,-27.9
Ethiopia,0.13,-1.24,-0.79,-0.98,-164,-145,21.6,-41.3
Finland,1.84,0.93,2.15,0.89,88,71,73.3,-80.3
France,1.39,0.20,1.66,0.54,86,57,68.1,-54.4
Georgia,-0.81,-0.68,-1.15,-0.88,-134,-103,23.2,-32.2
Germany,1.23,1.35,1.43,1.04,102,46,62.5,-57.6
Ghana,-0.55,-1.99,-0.82,-1.84,-156,-205,7.6,-70.8
Greece,0.04,-0.13,-0.10,0.15,30,17,48.4,-61.6
Guatemala,0.48,-0.10,0.07,-1.01,-57,-98,12.3,-70
Haiti,-0.21,-1.13,0.12,-0.85,-39,-285,,0
Hong Kong SAR,-0.20,1.28,0.13,1.20,-5,199,37.7,0
Hungary,-0.07,0.71,-0.19,0.63,72,-9,44.2,-32.8
Iceland,1.95,0.42,2.69,0.43,119,45,67.2,-78.9
India,-0.93,0.21,-0.47,-0.58,-101,17,22.3,-24.2
Indonesia,-0.84,-0.53,-0.92,-0.86,-171,-78,4.8,-50.2
Iran,-0.78,-0.62,-0.88,-0.57,-107,-73,11.5,-43.2
Iraq,-0.46,-1.40,-1.32,-0.87,-99,-160,2.7,-21.4
Ireland,1.05,-0.30,1.18,-0.80,27,17,29.8,-72
Israel,,,,,16,2,,0
Italy,0.75,-0.15,0.66,0.13,5,-36,48.5,-47
Japan,-0.21,2.12,0.95,1.74,42,234,47.6,-42.1
Jordan,-0.59,-1.58,-1.29,-1.57,-115,-120,0,-48.2
Kazakhstan,-0.86,0.37,-0.66,-0.21,-106,62,22.5,-45.4
Kosovo,-0.63,-0.59,-0.37,-1.14,,,11.9,-42.6
Kuwait,0.02,-1.23,,,-86,-71,,0
Kyrgyzstan,-0.98,-0.11,-0.60,-0.99,-148,-49,15.3,-49.3
Latvia,-0.81,1.66,-0.48,0.89,,,48,-19.8
Lebanon,-0.34,-0.35,-0.96,-0.34,-92,1,30.3,-50.5
Libya,-0.44,-1.55,-0.93,-1.61,-128,-111,3.4,-62.3
Lithuania,-0.82,1.67,-0.46,0.93,15,10,38.3,-30.3
Luxembourg,1.07,0.40,1.39,0.38,,,71,-62.8
Macau SAR,0.27,1.36,0.18,1.30,-30,165,,0
Malaysia,-0.34,-0.31,-0.47,-0.54,-89,-1,15.5,-64.9
Mali,-0.58,-1.26,-0.05,-1.38,,,21,-34.6
Malta,-0.07,-0.91,0.24,-1.26,,,11.4,-63.1
Mexico,0.89,-1.32,0.55,-1.38,-63,-104,28.7,-77.4
Moldova,-1.04,0.61,-1.54,0.14,,,27.2,-18.4
Montenegro,-0.03,-0.17,-0.32,-0.13,-91,-32,33.6,-47.5
Morocco,-1.15,-0.87,-1.46,-1.10,-103,-99,5.3,-21.5
Myanmar,-0.85,-0.84,0.73,-0.43,-73,-55,,0
Netherlands,1.92,0.90,1.72,0.37,182,87,79.8,-70.8
New Zealand,1.71,0.49,2.59,0.42,68,37,65.9,-90.4
Nicaragua,0.55,-1.59,-0.28,-1.72,-91,-134,,0
Nigeria,-0.05,-1.89,-0.88,-1.35,-291,-173,8.8,-69
North Ireland,1.03,-0.22,,,,,34.2,-72.7
North Macedonia,0.13,0.54,-0.17,0.11,-41,-51,35.6,-43.9
Norway,2.34,0.70,2.83,0.89,112,36,79.4,-79.8
Pakistan,-0.50,-0.98,-0.56,-1.29,-171,-122,9.5,-8
Palestine,-0.63,-0.97,-1.32,-0.96,,,,-33.8
Peru,-0.13,-1.00,-0.39,-1.03,-117,-187,19.1,-56.1
Philippines,-0.29,-1.23,0.09,-1.33,-126,-4,22.5,-45.3
Poland,0.41,-0.30,0.19,-0.40,-15,9,29.7,-38.4
Portugal,0.25,-0.21,0.30,-0.19,30,-24,40.8,-35.7
Puerto Rico,1.29,-1.26,0.74,-1.53,-29,-90,18.3,-100
Qatar,-0.13,-1.86,,,-125,-145,1.4,-79.4
Romania,-0.57,-0.02,-1.01,-0.26,-19,-64,34.7,-33.8
Russia,-0.89,0.92,-0.80,0.42,-21,48,39.2,-13
Rwanda,-0.58,-0.77,-0.87,-1.21,-134,-133,15.9,-50.3
Saudi Arabia,,,,,,,12.5,-51.5
Serbia,-0.06,0.14,-0.68,0.25,-33,-44,40.5,-33.5
Singapore,-0.08,0.48,-0.12,0.09,-29,89,30.1,-59.2
Slovakia,-0.36,0.34,0.41,0.43,22,25,47,-31.4
Slovenia,0.53,0.90,0.95,0.84,110,15,63.2,-56.6
South Africa,0.03,-0.55,0.06,-0.26,-105,-126,23.3,-52.7
South Korea,-0.85,1.55,-0.40,1.14,25,174,35,-36.7
Spain,1.22,0.03,1.14,0.45,58,2,50.1,-55.9
Sweden,2.77,1.14,2.98,1.41,133,21,100,-86.7
Switzerland,1.78,0.79,2.16,0.56,105,-21,67.2,-75.7
Zambia,-0.43,-0.89,-0.87,-0.54,,,25.2,-46.8
Zimbabwe,-0.57,-1.60,-1.35,-0.95,-95,-207,11.4,-39.7
Taiwan ROC,-0.53,1.29,-0.45,1.23,-43,175,36.1,-49.9
Tajikistan,-0.51,-0.83,,,-157,0,,0
Tanzania,,,,,,,9.1,-24.8
Thailand,-0.40,0.11,-0.06,-0.21,-121,87,20.8,-50.5
Trinidad and Tobago,0.01,-1.64,-0.26,-1.77,-98,-134,14.8,-79.6
Tunisia,-0.98,-0.64,-1.54,-0.75,-90,-102,4,-28.6
Turkey,-0.05,-0.50,-0.83,-0.81,-18,-52,19,-44.1
Uganda,-0.92,0.67,,,,,15.2,-58.3
Ukraine,-0.72,0.62,-0.96,0.42,14,19,36.3,-11.7
United Kingdom,1.89,0.00,2.04,0.26,93,56,56.6,-77.5
United States,1.21,0.20,1.39,-0.10,33,11,52.6,-84.7
Uruguay,1.25,-0.47,0.91,-0.30,34,-85,48,-80.2
Uzbekistan,-1.02,-0.26,,,-113,-2,17.9,-61.4
Venezuela,,,,,-95,-207,12.4,-90.4
Vietnam,-0.81,0.35,0.30,-0.44,-78,-1,17.9,-45.3
Yemen,-1.08,-1.13,-1.20,-1.39,-99,-130,7.8,-13.2
